isin,name,issuevalue,coupondate,recorddate,startdate,initialfacevalue,facevalue,faceunit,value,valueprc,value_rub,secid,primary_boardid
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2016-02-24,2016-02-20,2015-08-26,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2016-08-24,2016-08-23,2016-02-24,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2017-02-22,2017-02-21,2016-08-24,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2017-08-23,2017-08-22,2017-02-22,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2018-02-21,2018-02-20,2017-08-23,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2018-08-22,2018-08-21,2018-02-21,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2019-02-20,2019-02-19,2018-08-22,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2019-08-21,2019-08-20,2019-02-20,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2020-02-19,2020-02-18,2019-08-21,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2020-08-19,2020-08-18,2020-02-19,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2021-02-17,2021-02-16,2020-08-19,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
RU000A0JU4L3,ОФЗ-ПД 26215 16/08/23,260885454000,2021-08-18,2021-08-17,2021-02-17,1000,1000,RUB,34.9,7,34.9,SU26215RMFS2,TQOB
