BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2020-06-10,ОФЗ 26234,SU26234RMFS3,57,465294120.84,97.251,97.7,97.399,97.399,0.86,97.443,5.15,97.356,477649,97.413,97.413,97.399,465294120.84,465294120.84,465294120.84,2025-07-16,1681,5.14,,,4.5,28.48,,2020-06-10,1000,SUR,,,,,RUB,3
TQOB,2020-06-11,ОФЗ 26234,SU26234RMFS3,109,748914563.01,97.299,97.6,97.5,97.5,0.99,97.435,5.13,97.6,768110,97.501,97.501,97.5,748914563.01,748914563.01,748914563.01,2025-07-16,1680,5.14,,,4.5,28.48,,2020-06-11,1000,SUR,,,,,RUB,3
TQOB,2020-06-15,ОФЗ 26234,SU26234RMFS3,104,5188697.3,97.45,99.45,97.549,97.549,1.48,97.414,5.11,99.45,5297,97.955,97.955,97.549,5188697.3,5188697.3,5188697.3,2025-07-16,1676,5.15,,,4.5,28.48,,2020-06-15,1000,SUR,,,,,RUB,3
TQOB,2020-06-16,ОФЗ 26234,SU26234RMFS3,99,114991579.63,97.699,99.499,97.799,97.799,1.6,97.729,5.06,99.499,117624,97.762,97.762,97.799,114991579.63,114991579.63,114991579.63,2025-07-16,1675,5.07,,,4.5,28.48,,2020-06-16,1000,SUR,,,,,RUB,3
TQOB,2020-06-17,ОФЗ 26234,SU26234RMFS3,190,2980564887.36,97.6,99.754,97.9,97.9,1.73,97.837,5.03,99.754,3047461,97.805,97.805,97.9,2980564887.36,2980564887.36,2980564887.36,2025-07-16,1674,5.05,,,4.5,28.48,,2020-06-17,1000,SUR,,,,,RUB,3
TQOB,2020-06-18,ОФЗ 26234,SU26234RMFS3,95,317644095.62,97.95,98.2,98.099,98.099,1.85,98.004,4.99,98.049,323985,98.043,98.043,98.099,317644095.62,317644095.62,317644095.62,2025-07-16,1674,5.01,,,4.5,28.48,,2020-06-18,1000,SUR,,,,,RUB,3
TQOB,2020-06-19,ОФЗ 26234,SU26234RMFS3,129,758211284.28,98.099,99.0,98.399,98.399,1.97,98.529,4.92,99.0,768916,98.608,98.608,98.399,758211284.28,758211284.28,758211284.28,2025-07-16,1673,4.89,,,4.5,28.48,,2020-06-19,1000,SUR,,,,,RUB,3
TQOB,2020-06-22,ОФЗ 26234,SU26234RMFS3,115,169192258.75,97.8,99.0,98.249,98.249,2.34,97.903,4.95,99.0,172817,97.903,97.903,98.249,169192258.75,169192258.75,169192258.75,2025-07-16,1669,5.03,,,4.5,28.48,,2020-06-22,1000,SUR,,,,,RUB,3
TQOB,2020-06-23,ОФЗ 26234,SU26234RMFS3,72,60690358.22,98.0,98.699,98.0,98.0,2.47,98.001,5.01,98.699,61911,98.028,98.028,98.0,60690358.22,60690358.22,60690358.22,2025-07-16,1669,5.01,,,4.5,28.48,,2020-06-23,1000,SUR,,,,,RUB,3
TQOB,2020-06-25,ОФЗ 26234,SU26234RMFS3,101,39854817.24,97.505,98.899,97.75,97.75,2.71,97.754,5.07,98.0,40773,97.748,97.748,97.75,39854817.24,39854817.24,39854817.24,2025-07-16,1666,5.07,,,4.5,28.48,,2020-06-25,1000,SUR,,,,,RUB,3
TQOB,2020-06-26,ОФЗ 26234,SU26234RMFS3,73,50789353.14,97.503,99.705,97.899,97.899,2.84,97.788,5.03,99.705,51879,97.9,97.9,97.899,50789353.14,50789353.14,50789353.14,2025-07-16,1665,5.06,,,4.5,28.48,,2020-06-26,1000,SUR,,,,,RUB,3
TQOB,2020-06-29,ОФЗ 26234,SU26234RMFS3,115,5662081.28,97.505,98.899,97.599,97.599,3.21,97.734,5.11,97.902,5790,97.791,97.791,97.599,5662081.28,5662081.28,5662081.28,2025-07-16,1662,5.07,,,4.5,28.48,,2020-06-29,1000,SUR,,,,,RUB,3
TQOB,2020-06-30,ОФЗ 26234,SU26234RMFS3,258,279493649.56,96.751,98.25,97.0,96.809,3.33,96.933,5.25,98.25,287822,97.106,97.106,96.809,279493649.56,279493649.56,279493649.56,2025-07-16,1660,5.26,,,4.5,28.48,,2020-06-30,1000,SUR,,,,,RUB,3
TQOB,2020-07-02,ОФЗ 26234,SU26234RMFS3,117,24169787.32,97.125,97.798,97.35,97.367,3.58,97.186,5.17,97.798,24845,97.282,97.282,97.367,24169787.32,24169787.32,24169787.32,2025-07-16,1659,5.2,,,4.5,28.48,,2020-07-02,1000,SUR,,,,,RUB,3
TQOB,2020-07-03,ОФЗ 26234,SU26234RMFS3,223,585863168.76,96.37,97.999,96.45,96.45,3.7,96.541,5.38,97.999,606838,96.544,96.544,96.45,585863168.76,585863168.76,585863168.76,2025-07-16,1657,5.36,,,4.5,28.48,,2020-07-03,1000,SUR,,,,,RUB,3
TQOB,2020-07-06,ОФЗ 26234,SU26234RMFS3,145,13411196.0,96.45,97.459,97.15,97.15,4.07,96.629,5.21,96.451,13882,96.609,96.609,97.15,13411196.0,13411196.0,13411196.0,2025-07-16,1654,5.34,,,4.5,28.48,,2020-07-06,1000,SUR,,,,,RUB,3
TQOB,2020-07-07,ОФЗ 26234,SU26234RMFS3,92,95936673.68,96.89,98.299,97.349,97.349,4.19,97.187,5.17,97.597,98710,97.19,97.19,97.349,95936673.68,95936673.68,95936673.68,2025-07-16,1654,5.21,,,4.5,28.48,,2020-07-07,1000,SUR,,,,,RUB,3
TQOB,2020-07-08,ОФЗ 26234,SU26234RMFS3,68,70191203.43,97.477,97.899,97.65,97.65,4.32,97.62,5.1,97.477,71949,97.557,97.557,97.65,70191203.43,70191203.43,70191203.43,2025-07-16,1653,5.1,,,4.5,28.48,,2020-07-08,1000,SUR,,,,,RUB,3
TQOB,2020-07-09,ОФЗ 26234,SU26234RMFS3,72,99013259.93,97.551,98.018,97.7,97.7,4.44,97.89,5.08,98.018,101340,97.704,97.704,97.7,99013259.93,99013259.93,99013259.93,2025-07-16,1652,5.04,,,4.5,28.48,,2020-07-09,1000,SUR,,,,,RUB,3
TQOB,2020-07-10,ОФЗ 26234,SU26234RMFS3,71,108655818.95,97.45,98.0,97.5,97.5,4.56,97.645,5.13,98.0,111284,97.638,97.638,97.5,108655818.95,108655818.95,108655818.95,2025-07-16,1651,5.1,,,4.5,28.48,,2020-07-10,1000,SUR,,,,,RUB,3
TQOB,2020-07-13,ОФЗ 26234,SU26234RMFS3,103,109224411.94,96.5,98.019,97.75,97.75,4.93,97.764,5.07,98.019,111723,97.764,97.764,97.75,109224411.94,109224411.94,109224411.94,2025-07-16,1648,5.07,,,4.5,28.48,,2020-07-13,1000,SUR,,,,,RUB,3
TQOB,2020-07-14,ОФЗ 26234,SU26234RMFS3,84,17607596.07,97.517,98.25,97.999,98.067,5.05,97.824,5.01,98.172,17975,97.956,97.956,98.067,17607596.07,17607596.07,17607596.07,2025-07-16,1647,5.06,,,4.5,28.48,,2020-07-14,1000,SUR,,,,,RUB,3
TQOB,2020-07-15,ОФЗ 26234,SU26234RMFS3,126,323971886.29,97.5,98.483,97.699,97.699,5.18,97.534,5.09,97.519,332164,97.534,97.534,97.699,323971886.29,323971886.29,323971886.29,2025-07-16,1646,5.13,,,4.5,28.48,,2020-07-15,1000,SUR,,,,,RUB,3
TQOB,2020-07-16,ОФЗ 26234,SU26234RMFS3,79,216497609.3,97.449,98.099,97.6,97.6,5.3,97.551,5.11,98.099,221933,97.551,97.551,97.6,216497609.3,216497609.3,216497609.3,2025-07-16,1645,5.12,,,4.5,28.48,,2020-07-16,1000,SUR,,,,,RUB,3
TQOB,2020-07-17,ОФЗ 26234,SU26234RMFS3,52,128559830.06,97.401,98.2,97.799,97.799,5.42,97.686,5.06,97.54,131605,97.686,97.686,97.799,128559830.06,128559830.06,128559830.06,2025-07-16,1644,5.09,,,4.5,28.48,,2020-07-17,1000,SUR,,,,,RUB,3
TQOB,2020-07-20,ОФЗ 26234,SU26234RMFS3,73,24743596.58,97.411,97.932,97.7,97.7,5.79,97.757,5.09,97.411,25299,97.805,97.805,97.7,24743596.58,24743596.58,24743596.58,2025-07-16,1641,5.07,,,4.5,28.48,,2020-07-20,1000,SUR,,,,,RUB,3
TQOB,2020-07-21,ОФЗ 26234,SU26234RMFS3,70,175086917.13,97.801,98.063,98.0,98.0,5.92,97.999,5.02,97.924,178738,97.957,97.957,98.0,175086917.13,175086917.13,175086917.13,2025-07-16,1641,5.02,,,4.5,28.48,,2020-07-21,1000,SUR,,,,,RUB,3
TQOB,2020-07-22,ОФЗ 26234,SU26234RMFS3,95,1184583902.71,97.902,98.25,98.139,98.139,6.04,98.076,4.98,98.0,1207835,98.075,98.075,98.139,1184583902.71,1184583902.71,1184583902.71,2025-07-16,1640,5.0,,,4.5,28.48,,2020-07-22,1000,SUR,,,,,RUB,3
TQOB,2020-07-23,ОФЗ 26234,SU26234RMFS3,84,185151664.04,98.0,98.3,98.199,98.199,6.16,98.094,4.97,98.239,188855,98.039,98.039,98.199,185151664.04,185151664.04,185151664.04,2025-07-16,1639,4.99,,,4.5,28.48,,2020-07-23,1000,SUR,,,,,RUB,3
TQOB,2020-07-24,ОФЗ 26234,SU26234RMFS3,87,261321297.85,97.85,98.46,98.29,98.29,6.29,97.851,4.95,98.46,266738,97.969,97.969,98.29,261321297.85,261321297.85,261321297.85,2025-07-16,1637,5.05,,,4.5,28.48,,2020-07-24,1000,SUR,,,,,RUB,3
TQOB,2020-07-27,ОФЗ 26234,SU26234RMFS3,121,96283058.75,97.9,98.461,97.9,97.9,6.66,97.906,5.04,98.461,98342,97.906,97.906,97.9,96283058.75,96283058.75,96283058.75,2025-07-16,1634,5.04,,,4.5,28.48,,2020-07-27,1000,SUR,,,,,RUB,3
TQOB,2020-07-28,ОФЗ 26234,SU26234RMFS3,81,26750903.48,97.67,98.1,97.799,97.799,6.78,97.813,5.07,98.1,27384,97.688,97.688,97.799,26750903.48,26750903.48,26750903.48,2025-07-16,1633,5.06,,,4.5,28.48,,2020-07-28,1000,SUR,,,,,RUB,3
TQOB,2020-07-29,ОФЗ 26234,SU26234RMFS3,181,2213012197.81,97.6,97.94,97.699,97.699,6.9,97.696,5.09,97.91,2266783,97.628,97.628,97.699,2213012197.81,2213012197.81,2213012197.81,2025-07-16,1632,5.09,,,4.5,28.48,,2020-07-29,1000,SUR,,,,,RUB,3
TQOB,2020-07-30,ОФЗ 26234,SU26234RMFS3,146,281756239.12,97.351,97.99,97.499,97.499,7.03,97.407,5.14,97.99,289256,97.407,97.407,97.499,281756239.12,281756239.12,281756239.12,2025-07-16,1631,5.16,,,4.5,28.48,,2020-07-30,1000,SUR,,,,,RUB,3
TQOB,2020-07-31,ОФЗ 26234,SU26234RMFS3,86,1286100.83,97.302,97.697,97.599,97.599,7.15,97.45,5.11,97.5,1319,97.506,97.506,97.599,1286100.83,1286100.83,1286100.83,2025-07-16,1630,5.15,,,4.5,28.48,,2020-07-31,1000,SUR,,,,,RUB,3
TQOB,2020-08-03,ОФЗ 26234,SU26234RMFS3,109,783263859.66,97.332,97.999,97.899,97.899,7.52,97.811,5.04,97.99,800794,97.811,97.811,97.899,783263859.66,783263859.66,783263859.66,2025-07-16,1627,5.06,,,4.5,28.48,,2020-08-03,1000,SUR,,,,,RUB,3
TQOB,2020-08-04,ОФЗ 26234,SU26234RMFS3,102,1040057849.93,97.602,97.999,97.899,97.899,7.64,97.88,5.04,97.999,1062587,97.88,97.88,97.899,1040057849.93,1040057849.93,1040057849.93,2025-07-16,1626,5.05,,,4.5,28.48,,2020-08-04,1000,SUR,,,,,RUB,3
TQOB,2020-08-05,ОФЗ 26234,SU26234RMFS3,126,989968011.66,97.8,98.0,97.949,97.94,7.77,97.9,5.03,98.0,1011207,97.9,97.9,97.94,989968011.66,989968011.66,989968011.66,2025-07-16,1625,5.04,,,4.5,28.48,,2020-08-05,1000,SUR,,,,,RUB,3
TQOB,2020-08-06,ОФЗ 26234,SU26234RMFS3,123,242042232.27,97.652,97.989,97.7,97.7,7.89,97.757,5.09,97.989,247596,97.757,97.757,97.7,242042232.27,242042232.27,242042232.27,2025-07-16,1624,5.08,,,4.5,28.48,,2020-08-06,1000,SUR,,,,,RUB,3
TQOB,2020-08-07,ОФЗ 26234,SU26234RMFS3,102,161143719.68,97.65,97.999,97.749,97.749,8.01,97.746,5.08,97.999,164965,97.684,97.684,97.749,161143719.68,161143719.68,161143719.68,2025-07-16,1623,5.08,,,4.5,28.48,,2020-08-07,1000,SUR,,,,,RUB,3
TQOB,2020-08-10,ОФЗ 26234,SU26234RMFS3,111,13075504.68,97.6,97.99,97.7,97.749,8.38,97.746,5.09,97.99,13377,97.746,97.746,97.749,13075504.68,13075504.68,13075504.68,2025-07-16,1620,5.08,,,4.5,28.48,,2020-08-10,1000,SUR,,,,,RUB,3
TQOB,2020-08-11,ОФЗ 26234,SU26234RMFS3,96,898196244.7,97.53,97.99,97.797,97.796,8.51,97.749,5.07,97.99,918871,97.75,97.75,97.796,898196244.7,898196244.7,898196244.7,2025-07-16,1619,5.08,,,4.5,28.48,,2020-08-11,1000,SUR,,,,,RUB,3
TQOB,2020-08-12,ОФЗ 26234,SU26234RMFS3,165,401003796.17,97.5,97.749,97.5,97.5,8.63,97.488,5.14,97.695,411138,97.535,97.535,97.5,401003796.17,401003796.17,401003796.17,2025-07-16,1618,5.14,,,4.5,28.48,,2020-08-12,1000,SUR,,,,,RUB,3
TQOB,2020-08-13,ОФЗ 26234,SU26234RMFS3,139,126176073.68,97.316,97.769,97.449,97.449,8.75,97.443,5.15,97.511,129487,97.443,97.443,97.449,126176073.68,126176073.68,126176073.68,2025-07-16,1617,5.16,,,4.5,28.48,,2020-08-13,1000,SUR,,,,,RUB,3
TQOB,2020-08-14,ОФЗ 26234,SU26234RMFS3,157,113231281.27,97.2,97.5,97.298,97.298,8.88,97.254,5.19,97.499,116429,97.254,97.254,97.298,113231281.27,113231281.27,113231281.27,2025-07-16,1616,5.2,,,4.5,28.48,,2020-08-14,1000,SUR,,,,,RUB,3
