BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2019-12-30,BRF1,,,,,0.0,,,
RFUD,2020-01-03,BRF1,60.0,60.0,65.29,62.56,78808.28,155262.24,4.0,2.0
RFUD,2020-01-06,BRF1,63.25,63.25,64.06,64.06,316808.64,118308.47,3.0,8.0
RFUD,2020-01-08,BRF1,63.6,62.87,63.6,62.87,387182.4,116604.29,3.0,10.0
RFUD,2020-01-09,BRF1,61.07,61.07,61.97,61.95,531928.04,151433.6,4.0,14.0
RFUD,2020-01-10,BRF1,61.49,60.98,61.5,60.99,966478.5,335769.19,9.0,26.0
RFUD,2020-01-13,BRF1,60.62,60.62,60.62,60.62,1039661.84,37130.78,1.0,28.0
RFUD,2020-01-14,BRF1,59.88,59.73,61.25,60.6,1634210.16,519859.3,14.0,44.0
RFUD,2020-01-15,BRF1,60.38,60.38,60.88,60.88,1724264.0,74660.15,2.0,46.0
RFUD,2020-01-16,BRF1,60.06,60.06,60.06,60.06,1776842.88,37017.56,1.0,48.0
RFUD,2020-01-17,BRF1,,,,,1784292.48,,,48.0
RFUD,2020-01-20,BRF1,,,,,1800088.32,,,48.0
RFUD,2020-01-21,BRF1,,,,,1795315.68,,,48.0
RFUD,2020-01-22,BRF1,59.8,59.8,59.8,59.8,2146413.54,185345.6,5.0,58.0
RFUD,2020-01-23,BRF1,59.7,58.9,59.88,59.0,2753404.76,367483.35,10.0,76.0
RFUD,2020-01-24,BRF1,59.0,59.0,59.0,59.0,2803117.98,36544.42,1.0,78.0
RFUD,2020-01-27,BRF1,58.48,55.38,58.48,56.8,3440901.52,777195.03,22.0,98.0
RFUD,2020-01-28,BRF1,55.76,55.76,56.7,56.7,3586285.32,140064.81,4.0,102.0
RFUD,2020-01-29,BRF1,57.1,57.1,57.1,57.1,3698137.04,35809.87,1.0,104.0
RFUD,2020-01-30,BRF1,58.11,56.4,58.11,57.3,4064510.24,216329.26,6.0,112.0
RFUD,2020-01-31,BRF1,,,,,4055134.72,,,112.0
RFUD,2020-02-03,BRF1,56.2,56.2,58.62,57.53,4267018.8,219605.42,6.0,120.0
RFUD,2020-02-04,BRF1,55.5,55.04,56.94,55.04,3904455.52,385935.48,11.0,112.0
RFUD,2020-02-05,BRF1,56.52,56.52,56.52,56.52,3893159.6,35511.74,1.0,110.0
RFUD,2020-02-06,BRF1,56.2,56.2,56.2,56.2,3916167.2,35601.52,1.0,110.0
RFUD,2020-02-07,BRF1,56.2,56.2,56.36,56.36,3899341.08,72107.52,2.0,108.0
RFUD,2020-02-10,BRF1,,,,,3843275.04,,,108.0
RFUD,2020-02-11,BRF1,55.91,55.5,56.51,56.51,4083436.68,141783.88,4.0,114.0
RFUD,2020-02-12,BRF1,57.3,57.3,57.3,57.3,4127079.3,36189.82,1.0,114.0
RFUD,2020-02-13,BRF1,58.87,58.39,58.87,58.39,4430321.42,186542.36,5.0,122.0
RFUD,2020-02-14,BRF1,58.96,58.96,59.87,59.06,4768985.6,526285.68,14.0,128.0
RFUD,2020-02-17,BRF1,,,,,4762467.84,,,128.0
RFUD,2020-02-18,BRF1,58.51,58.51,58.51,58.51,4710357.54,37383.79,1.0,126.0
RFUD,2020-02-19,BRF1,59.0,59.0,60.04,59.69,4784987.34,151732.59,4.0,126.0
RFUD,2020-02-20,BRF1,60.0,59.74,60.0,59.79,4668491.04,268177.84,7.0,122.0
RFUD,2020-02-21,BRF1,60.52,59.0,60.66,59.0,5230803.06,420744.96,11.0,138.0
RFUD,2020-02-25,BRF1,,,,,5140638.0,,,138.0
RFUD,2020-02-26,BRF1,56.37,54.9,56.85,55.29,5354249.28,802485.63,22.0,148.0
RFUD,2020-02-27,BRF1,55.03,53.65,55.03,53.65,5191936.66,324511.76,9.0,146.0
RFUD,2020-02-28,BRF1,53.73,52.99,53.73,52.99,5132948.28,179239.57,5.0,146.0
RFUD,2020-03-02,BRF1,53.48,53.0,53.56,53.0,4885909.02,143106.74,4.0,142.0
RFUD,2020-03-03,BRF1,56.0,54.6,56.01,54.6,5238517.72,255845.9,7.0,148.0
RFUD,2020-03-04,BRF1,,,,,5219230.36,,,148.0
RFUD,2020-03-05,BRF1,,,,,5185669.88,,,148.0
RFUD,2020-03-06,BRF1,53.0,48.89,53.0,51.19,4035457.2,699048.51,20.0,120.0
RFUD,2020-03-10,BRF1,48.89,38.2,48.89,39.4,1995326.64,1446866.92,46.0,72.0
