BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2019-01-28,BRG0,,,,,0.0,,,
RFUD,2019-01-29,BRG0,62.13,60.43,62.13,60.43,162728.4,242923.48,6.0,4.0
RFUD,2019-01-30,BRG0,61.8,61.8,61.8,61.8,83651.96,40834.84,1.0,2.0
RFUD,2019-01-31,BRG0,,,,,82964.16,,,2.0
RFUD,2019-02-01,BRG0,,,,,81414.72,,,2.0
RFUD,2019-02-04,BRG0,,,,,81806.64,,,2.0
RFUD,2019-02-05,BRG0,,,,,81777.92,,,2.0
RFUD,2019-02-06,BRG0,61.56,61.56,61.56,61.56,81361.12,40529.13,1.0,2.0
RFUD,2019-02-07,BRG0,,,,,82418.3,,,2.0
RFUD,2019-02-08,BRG0,62.9,62.9,62.9,62.9,0.0,41356.25,1.0,0.0
RFUD,2019-02-11,BRG0,,,,,0.0,,,
RFUD,2019-02-12,BRG0,,,,,0.0,,,
RFUD,2019-02-13,BRG0,,,,,0.0,,,
RFUD,2019-02-14,BRG0,,,,,0.0,,,
RFUD,2019-02-15,BRG0,,,,,0.0,,,
RFUD,2019-02-18,BRG0,,,,,0.0,,,
RFUD,2019-02-19,BRG0,,,,,0.0,,,
RFUD,2019-02-20,BRG0,,,,,0.0,,,
RFUD,2019-02-21,BRG0,,,,,0.0,,,
RFUD,2019-02-22,BRG0,68.62,68.62,68.62,68.62,87369.18,44928.6,1.0,2.0
RFUD,2019-02-25,BRG0,,,,,85148.3,,,2.0
RFUD,2019-02-26,BRG0,,,,,84957.32,,,2.0
RFUD,2019-02-27,BRG0,,,,,86766.98,,,2.0
RFUD,2019-02-28,BRG0,67.95,66.63,67.95,67.95,522455.64,401312.46,9.0,12.0
RFUD,2019-03-01,BRG0,,,,,519530.28,,,12.0
RFUD,2019-03-04,BRG0,65.86,65.86,65.86,65.86,517583.76,43269.95,1.0,12.0
RFUD,2019-03-05,BRG0,65.86,65.86,65.86,65.86,172356.8,216795.65,5.0,4.0
