BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2018-02-26,BRH9,,,,,0.0,,,
RFUD,2018-02-27,BRH9,64.6,64.6,64.77,64.77,290735.92,145205.25,4.0,8.0
RFUD,2018-02-28,BRH9,,,,,286018.0,,,8.0
RFUD,2018-03-01,BRH9,,,,,280597.36,,,8.0
RFUD,2018-03-02,BRH9,,,,,281458.8,,,8.0
RFUD,2018-03-05,BRH9,61.98,61.98,63.0,63.0,1003297.4,355603.24,10.0,28.0
RFUD,2018-03-06,BRH9,63.0,62.01,63.0,62.4,423219.48,458459.54,13.0,12.0
RFUD,2018-03-07,BRH9,,,,,425271.6,,,12.0
RFUD,2018-03-09,BRH9,63.31,63.31,63.31,63.31,426756.72,35880.44,1.0,12.0
RFUD,2018-03-12,BRH9,63.11,62.82,63.62,63.26,1438646.8,2167031.28,60.0,40.0
RFUD,2018-03-13,BRH9,62.89,62.89,62.89,62.89,1427856.8,35764.66,1.0,40.0
RFUD,2018-03-14,BRH9,61.55,61.55,63.49,63.49,1519504.98,179674.69,5.0,42.0
RFUD,2018-03-15,BRH9,61.55,61.55,62.05,62.05,1281522.24,141530.81,4.0,36.0
RFUD,2018-03-16,BRH9,,,,,1306233.0,,,36.0
RFUD,2018-03-19,BRH9,,,,,1314715.68,,,36.0
RFUD,2018-03-20,BRH9,63.89,63.89,63.89,63.89,880849.44,293616.48,8.0,24.0
RFUD,2018-03-21,BRH9,63.89,63.89,64.19,64.19,588381.92,220184.93,6.0,16.0
RFUD,2018-03-22,BRH9,,,,,590579.36,,,16.0
RFUD,2018-03-23,BRH9,65.38,65.37,65.38,65.37,596243.36,74536.13,2.0,16.0
RFUD,2018-03-26,BRH9,,,,,601840.64,,,16.0
RFUD,2018-03-27,BRH9,,,,,603072.64,,,16.0
RFUD,2018-03-28,BRH9,,,,,601654.4,,,16.0
RFUD,2018-03-29,BRH9,,,,,599299.52,,,16.0
RFUD,2018-03-30,BRH9,,,,,597802.24,,,16.0
RFUD,2018-04-02,BRH9,64.01,64.01,64.01,64.01,589687.84,36855.49,1.0,16.0
RFUD,2018-04-03,BRH9,,,,,592694.72,,,16.0
RFUD,2018-04-04,BRH9,63.05,63.05,63.05,63.05,580414.08,36275.88,1.0,16.0
RFUD,2018-04-05,BRH9,63.7,63.7,64.64,64.64,596540.32,74025.36,2.0,16.0
RFUD,2018-04-06,BRH9,,,,,595689.28,,,16.0
RFUD,2018-04-09,BRH9,,,,,615582.88,,,16.0
