BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2017-03-28,BRJ8,,,,,0.0,,,
RFUD,2017-03-29,BRJ8,,,,,0.0,,,
RFUD,2017-03-30,BRJ8,53.12,53.12,55.64,55.64,62249.36,60839.69,2.0,2.0
RFUD,2017-03-31,BRJ8,,,,,61991.32,,,2.0
RFUD,2017-04-03,BRJ8,,,,,62872.76,,,2.0
RFUD,2017-04-04,BRJ8,,,,,62888.34,,,2.0
RFUD,2017-04-05,BRJ8,56.29,55.17,56.7,56.7,636969.0,377030.55,12.0,20.0
RFUD,2017-04-06,BRJ8,56.99,56.6,57.35,57.0,899424.12,353632.64,11.0,28.0
RFUD,2017-04-07,BRJ8,57.2,56.6,57.2,56.6,5823716.4,2917345.64,90.0,180.0
RFUD,2017-04-10,BRJ8,56.75,56.75,57.04,57.04,5878998.0,130340.93,4.0,180.0
RFUD,2017-04-11,BRJ8,57.15,57.15,57.15,57.15,5875450.2,32641.39,1.0,180.0
RFUD,2017-04-12,BRJ8,,,,,5883003.0,,,180.0
RFUD,2017-04-13,BRJ8,57.65,57.26,57.65,57.3,5789656.8,355561.18,11.0,180.0
RFUD,2017-04-14,BRJ8,57.2,57.04,57.2,57.05,5906512.24,192794.96,6.0,184.0
RFUD,2017-04-17,BRJ8,57.06,57.06,57.06,57.06,5870286.32,63807.46,2.0,184.0
RFUD,2017-04-18,BRJ8,57.1,56.18,57.1,56.18,5802329.6,541361.05,17.0,184.0
RFUD,2017-04-19,BRJ8,56.4,56.4,56.5,56.5,5867783.92,63723.81,2.0,184.0
RFUD,2017-04-20,BRJ8,55.05,54.6,55.05,54.7,5719639.5,401614.93,13.0,186.0
RFUD,2017-04-21,BRJ8,53.65,52.1,53.65,52.9,10887039.8,4078924.89,137.0,364.0
RFUD,2017-04-24,BRJ8,53.05,53.0,53.7,53.6,10768226.4,1398690.62,47.0,360.0
RFUD,2017-04-25,BRJ8,53.28,53.28,53.3,53.3,10776441.6,1496537.09,50.0,360.0
RFUD,2017-04-26,BRJ8,,,,,11070910.8,,,360.0
RFUD,2017-04-27,BRJ8,53.35,53.35,53.67,53.67,10986579.66,61217.37,2.0,358.0
RFUD,2017-04-28,BRJ8,54.54,54.54,54.7,54.7,11025832.64,62193.39,2.0,356.0
RFUD,2017-05-02,BRJ8,,,,,10742218.12,,,356.0
RFUD,2017-05-03,BRJ8,52.17,52.17,52.37,52.37,10679159.84,59880.72,2.0,356.0
RFUD,2017-05-04,BRJ8,50.7,50.7,51.7,51.7,10648408.5,179899.68,6.0,354.0
RFUD,2017-05-05,BRJ8,50.02,50.02,52.1,51.5,9881744.4,475521.49,16.0,330.0
RFUD,2017-05-10,BRJ8,,,,,9784734.3,,,330.0
RFUD,2017-05-11,BRJ8,,,,,9939276.6,,,330.0
RFUD,2017-05-12,BRJ8,52.01,52.01,52.3,52.3,9807203.28,59634.23,2.0,328.0
RFUD,2017-05-15,BRJ8,,,,,9938665.68,,,328.0
RFUD,2017-05-16,BRJ8,,,,,9969186.08,,,328.0
RFUD,2017-05-17,BRJ8,,,,,10048043.84,,,328.0
RFUD,2017-05-18,BRJ8,53.23,53.23,53.38,53.38,9884595.0,122680.74,4.0,322.0
RFUD,2017-05-19,BRJ8,,,,,10111415.02,,,322.0
RFUD,2017-05-22,BRJ8,,,,,10168966.08,,,322.0
