BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2018-06-26,BRK0,68.24,68.24,68.24,68.24,386861580.0,193885380.0,4500.0,9000.0
RFUD,2018-06-27,BRK0,,,,,397201590.0,,,9000.0
RFUD,2018-06-28,BRK0,,,,,399394440.0,,,9000.0
RFUD,2018-06-29,BRK0,,,,,396683820.0,,,9000.0
RFUD,2018-07-02,BRK0,,,,,398815650.0,,,9000.0
RFUD,2018-07-03,BRK0,,,,,394610310.0,,,9000.0
RFUD,2018-07-04,BRK0,,,,,394135830.0,,,9000.0
RFUD,2018-07-05,BRK0,,,,,401830470.0,,,9000.0
RFUD,2018-07-06,BRK0,,,,,393266880.0,,,9000.0
RFUD,2018-07-09,BRK0,,,,,394795710.0,,,9000.0
RFUD,2018-07-10,BRK0,,,,,394137270.0,,,9000.0
RFUD,2018-07-11,BRK0,,,,,388395270.0,,,9000.0
RFUD,2018-07-12,BRK0,,,,,380267640.0,,,9000.0
RFUD,2018-07-13,BRK0,,,,,390387150.0,,,9000.0
RFUD,2018-07-16,BRK0,,,,,384657120.0,,,9000.0
RFUD,2018-07-17,BRK0,,,,,383156100.0,,,9000.0
RFUD,2018-07-18,BRK0,,,,,390719790.0,,,9000.0
RFUD,2018-07-19,BRK0,,,,,401559840.0,,,9000.0
RFUD,2018-07-20,BRK0,,,,,398970990.0,,,9000.0
RFUD,2018-07-23,BRK0,,,,,399186090.0,,,9000.0
RFUD,2018-07-24,BRK0,,,,,402216930.0,,,9000.0
RFUD,2018-07-25,BRK0,,,,,404312580.0,,,9000.0
RFUD,2018-07-26,BRK0,,,,,404783280.0,,,9000.0
RFUD,2018-07-27,BRK0,,,,,406706490.0,,,9000.0
RFUD,2018-07-30,BRK0,,,,,408053880.0,,,9000.0
RFUD,2018-07-31,BRK0,,,,,408448260.0,,,9000.0
RFUD,2018-08-01,BRK0,,,,,406206810.0,,,9000.0
RFUD,2018-08-02,BRK0,,,,,411007680.0,,,9000.0
RFUD,2018-08-03,BRK0,,,,,409943790.0,,,9000.0
RFUD,2018-08-06,BRK0,,,,,413190000.0,,,9000.0
RFUD,2018-08-07,BRK0,,,,,415782900.0,,,9000.0
RFUD,2018-08-08,BRK0,,,,,415199790.0,,,9000.0
RFUD,2018-08-09,BRK0,,,,,423144720.0,,,9000.0
RFUD,2018-08-10,BRK0,,,,,429914070.0,,,9000.0
