BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2017-05-26,BRM8,,,,,0.0,,,
RFUD,2017-05-29,BRM8,,,,,0.0,,,
RFUD,2017-05-30,BRM8,,,,,0.0,,,
RFUD,2017-05-31,BRM8,,,,,0.0,,,
RFUD,2017-06-01,BRM8,,,,,0.0,,,
RFUD,2017-06-02,BRM8,53.0,52.0,53.0,52.0,117853.44,59493.32,2.0,4.0
RFUD,2017-06-05,BRM8,,,,,118557.88,,,4.0
RFUD,2017-06-06,BRM8,,,,,118080.0,,,4.0
RFUD,2017-06-07,BRM8,,,,,116961.36,,,4.0
RFUD,2017-06-08,BRM8,,,,,116759.2,,,4.0
RFUD,2017-06-09,BRM8,,,,,115262.92,,,4.0
RFUD,2017-06-13,BRM8,,,,,115986.12,,,4.0
RFUD,2017-06-14,BRM8,,,,,114787.92,,,4.0
RFUD,2017-06-15,BRM8,,,,,115913.2,,,4.0
RFUD,2017-06-16,BRM8,,,,,115507.2,,,4.0
RFUD,2017-06-19,BRM8,,,,,116830.72,,,4.0
RFUD,2017-06-20,BRM8,49.22,49.17,49.39,49.19,704362.32,528844.48,18.0,24.0
RFUD,2017-06-21,BRM8,48.99,48.99,49.49,49.49,710529.84,58911.72,2.0,24.0
RFUD,2017-06-22,BRM8,48.6,48.56,48.6,48.6,697542.24,116209.2,4.0,24.0
RFUD,2017-06-23,BRM8,,,,,692248.08,,,24.0
RFUD,2017-06-26,BRM8,,,,,683991.84,,,24.0
RFUD,2017-06-27,BRM8,,,,,693712.8,,,24.0
RFUD,2017-06-28,BRM8,48.23,48.23,50.05,50.05,714135.12,175281.74,6.0,24.0
RFUD,2017-06-29,BRM8,50.6,50.6,50.6,50.6,778937.9,29959.15,1.0,26.0
RFUD,2017-06-30,BRM8,,,,,773824.48,,,26.0
RFUD,2017-07-03,BRM8,,,,,790112.44,,,26.0
RFUD,2017-07-04,BRM8,,,,,799531.98,,,26.0
RFUD,2017-07-05,BRM8,,,,,797917.12,,,26.0
RFUD,2017-07-06,BRM8,,,,,797785.3,,,26.0
RFUD,2017-07-07,BRM8,,,,,768875.38,,,26.0
RFUD,2017-07-10,BRM8,,,,,794841.58,,,26.0
RFUD,2017-07-11,BRM8,,,,,805444.38,,,26.0
RFUD,2017-07-12,BRM8,,,,,804028.94,,,26.0
RFUD,2017-07-13,BRM8,,,,,797472.78,,,26.0
RFUD,2017-07-14,BRM8,,,,,788831.94,,,26.0
RFUD,2017-07-17,BRM8,,,,,794399.58,,,26.0
RFUD,2017-07-18,BRM8,,,,,792471.94,,,26.0
RFUD,2017-07-19,BRM8,51.89,51.89,51.89,51.89,856499.28,30589.26,1.0,28.0
RFUD,2017-07-20,BRM8,,,,,861405.72,,,28.0
RFUD,2017-07-21,BRM8,,,,,848092.0,,,28.0
RFUD,2017-07-24,BRM8,,,,,847282.24,,,28.0
RFUD,2017-07-25,BRM8,51.63,51.63,51.63,51.63,929087.4,30969.58,1.0,30.0
RFUD,2017-07-26,BRM8,,,,,936062.1,,,30.0
RFUD,2017-07-27,BRM8,,,,,946886.7,,,30.0
RFUD,2017-07-28,BRM8,,,,,964501.8,,,30.0
RFUD,2017-07-31,BRM8,,,,,974048.7,,,30.0
RFUD,2017-08-01,BRM8,,,,,964960.2,,,30.0
RFUD,2017-08-02,BRM8,52.88,52.88,52.88,52.88,960344.7,32011.49,1.0,30.0
RFUD,2017-08-03,BRM8,54.08,54.08,54.08,54.08,976240.2,32541.34,1.0,30.0
RFUD,2017-08-04,BRM8,53.0,52.84,53.0,52.84,950257.8,95121.69,3.0,30.0
RFUD,2017-08-07,BRM8,,,,,957471.6,,,30.0
RFUD,2017-08-08,BRM8,,,,,963501.0,,,30.0
RFUD,2017-08-09,BRM8,,,,,975502.5,,,30.0
RFUD,2017-08-10,BRM8,,,,,969352.2,,,30.0
RFUD,2017-08-11,BRM8,,,,,949788.9,,,30.0
RFUD,2017-08-14,BRM8,,,,,947313.3,,,30.0
RFUD,2017-08-15,BRM8,,,,,941774.4,,,30.0
RFUD,2017-08-16,BRM8,,,,,949602.0,,,30.0
RFUD,2017-08-17,BRM8,,,,,922138.2,,,30.0
RFUD,2017-08-18,BRM8,,,,,931061.1,,,30.0
RFUD,2017-08-21,BRM8,,,,,932840.7,,,30.0
RFUD,2017-08-22,BRM8,,,,,936452.1,,,30.0
RFUD,2017-08-23,BRM8,,,,,919887.0,,,30.0
RFUD,2017-08-24,BRM8,,,,,933591.3,,,30.0
RFUD,2017-08-25,BRM8,51.97,51.97,51.97,51.97,1162173.38,122334.04,4.0,38.0
RFUD,2017-08-28,BRM8,,,,,1170148.82,,,38.0
RFUD,2017-08-29,BRM8,,,,,1163487.8,,,38.0
RFUD,2017-08-30,BRM8,,,,,1167213.32,,,38.0
RFUD,2017-08-31,BRM8,51.69,51.69,51.69,51.69,1141241.46,60065.34,2.0,38.0
RFUD,2017-09-01,BRM8,53.1,53.1,53.1,53.1,1222676.4,30566.91,1.0,40.0
RFUD,2017-09-04,BRM8,,,,,1227725.6,,,40.0
RFUD,2017-09-05,BRM8,,,,,1228320.8,,,40.0
RFUD,2017-09-06,BRM8,,,,,1240904.4,,,40.0
RFUD,2017-09-07,BRM8,54.08,54.0,54.45,54.45,1241728.0,123448.73,4.0,40.0
RFUD,2017-09-08,BRM8,54.54,54.35,54.54,54.35,1244869.2,124704.52,4.0,40.0
RFUD,2017-09-11,BRM8,,,,,1213546.4,,,40.0
RFUD,2017-09-12,BRM8,,,,,1244253.2,,,40.0
RFUD,2017-09-13,BRM8,,,,,1251276.0,,,40.0
RFUD,2017-09-14,BRM8,,,,,1255632.8,,,40.0
RFUD,2017-09-15,BRM8,,,,,1250822.4,,,40.0
RFUD,2017-09-18,BRM8,,,,,1270112.4,,,40.0
RFUD,2017-09-19,BRM8,,,,,1283360.4,,,40.0
RFUD,2017-09-20,BRM8,,,,,1280273.2,,,40.0
RFUD,2017-09-21,BRM8,,,,,1274810.4,,,40.0
RFUD,2017-09-22,BRM8,,,,,1279056.0,,,40.0
RFUD,2017-09-25,BRM8,56.46,56.46,56.46,56.46,1299797.2,32494.93,1.0,40.0
RFUD,2017-09-26,BRM8,57.07,57.0,57.07,57.05,1320593.6,132041.99,4.0,40.0
RFUD,2017-09-27,BRM8,56.64,56.64,56.64,56.64,1382081.82,32906.71,1.0,42.0
RFUD,2017-09-28,BRM8,,,,,1385643.84,,,42.0
RFUD,2017-09-29,BRM8,,,,,1361773.14,,,42.0
RFUD,2017-10-02,BRM8,56.0,55.3,56.0,55.3,2050138.24,709392.36,22.0,64.0
RFUD,2017-10-03,BRM8,,,,,2053496.32,,,64.0
RFUD,2017-10-04,BRM8,,,,,2024458.24,,,64.0
RFUD,2017-10-05,BRM8,,,,,2041856.0,,,64.0
RFUD,2017-10-06,BRM8,54.7,54.7,54.7,54.7,2290538.16,127252.12,4.0,72.0
RFUD,2017-10-09,BRM8,,,,,2334377.52,,,72.0
RFUD,2017-10-10,BRM8,55.84,55.84,55.84,55.84,2328251.76,32336.83,1.0,72.0
RFUD,2017-10-11,BRM8,,,,,2330917.2,,,72.0
RFUD,2017-10-12,BRM8,,,,,2326209.84,,,72.0
RFUD,2017-10-13,BRM8,,,,,2326093.2,,,72.0
RFUD,2017-10-16,BRM8,57.6,57.6,57.6,57.6,2376760.32,33010.56,1.0,72.0
RFUD,2017-10-17,BRM8,,,,,2384079.84,,,72.0
RFUD,2017-10-18,BRM8,,,,,2383541.28,,,72.0
RFUD,2017-10-19,BRM8,,,,,2376739.44,,,72.0
RFUD,2017-10-20,BRM8,,,,,2359598.4,,,72.0
RFUD,2017-10-23,BRM8,,,,,2381850.0,,,72.0
RFUD,2017-10-24,BRM8,,,,,2386136.16,,,72.0
RFUD,2017-10-25,BRM8,,,,,2388012.48,,,72.0
RFUD,2017-10-26,BRM8,,,,,2389130.64,,,72.0
RFUD,2017-10-27,BRM8,,,,,2410214.4,,,72.0
RFUD,2017-10-30,BRM8,,,,,2418483.6,,,72.0
RFUD,2017-10-31,BRM8,,,,,2442574.8,,,72.0
RFUD,2017-11-01,BRM8,60.76,60.49,60.92,60.49,2534777.28,141391.32,4.0,72.0
RFUD,2017-11-02,BRM8,,,,,2511818.64,,,72.0
RFUD,2017-11-03,BRM8,,,,,2544021.36,,,72.0
RFUD,2017-11-07,BRM8,60.3,60.3,62.56,62.56,2662206.48,108732.53,3.0,72.0
RFUD,2017-11-08,BRM8,,,,,2671707.6,,,72.0
RFUD,2017-11-09,BRM8,,,,,2636873.28,,,72.0
RFUD,2017-11-10,BRM8,,,,,2691939.6,,,72.0
RFUD,2017-11-13,BRM8,,,,,2658299.76,,,72.0
RFUD,2017-11-14,BRM8,,,,,2672178.48,,,72.0
RFUD,2017-11-15,BRM8,61.0,61.0,61.0,61.0,2714706.28,36685.22,1.0,74.0
RFUD,2017-11-16,BRM8,,,,,2671203.16,,,74.0
RFUD,2017-11-17,BRM8,,,,,2677089.86,,,74.0
RFUD,2017-11-20,BRM8,,,,,2658697.16,,,74.0
RFUD,2017-11-21,BRM8,,,,,2624077.0,,,74.0
RFUD,2017-11-22,BRM8,61.68,61.68,61.68,61.68,2608562.16,36230.03,1.0,72.0
RFUD,2017-11-23,BRM8,,,,,2626819.2,,,72.0
RFUD,2017-11-24,BRM8,62.5,62.0,62.5,62.0,2681364.84,72761.54,2.0,74.0
RFUD,2017-11-27,BRM8,,,,,2703985.9,,,74.0
RFUD,2017-11-28,BRM8,,,,,2710785.76,,,74.0
RFUD,2017-11-29,BRM8,,,,,2714236.38,,,74.0
RFUD,2017-11-30,BRM8,,,,,2667956.78,,,74.0
RFUD,2017-12-01,BRM8,62.2,62.09,62.8,62.8,3308160.6,328943.09,9.0,90.0
RFUD,2017-12-04,BRM8,62.25,61.98,62.31,61.98,3136640.16,182845.36,5.0,86.0
RFUD,2017-12-05,BRM8,61.6,61.6,61.6,61.6,3037921.32,36165.73,1.0,84.0
RFUD,2017-12-06,BRM8,61.5,61.5,61.5,61.5,2908644.8,72716.12,2.0,80.0
RFUD,2017-12-07,BRM8,,,,,2902451.2,,,80.0
RFUD,2017-12-08,BRM8,,,,,2971042.4,,,80.0
RFUD,2017-12-11,BRM8,62.1,62.1,62.1,62.1,2940028.0,36750.35,1.0,80.0
RFUD,2017-12-12,BRM8,63.62,63.2,63.62,63.2,3063212.5,112470.81,3.0,82.0
RFUD,2017-12-13,BRM8,62.09,61.64,62.09,61.64,2829590.4,72818.44,2.0,78.0
RFUD,2017-12-14,BRM8,60.81,60.81,60.81,60.81,2720790.88,35799.88,1.0,76.0
RFUD,2017-12-15,BRM8,,,,,2733884.16,,,76.0
RFUD,2017-12-18,BRM8,,,,,2719967.04,,,76.0
RFUD,2017-12-19,BRM8,62.35,61.92,62.35,62.32,2785311.08,146383.62,4.0,76.0
RFUD,2017-12-20,BRM8,62.32,62.32,62.33,62.33,2853860.88,109758.01,3.0,78.0
RFUD,2017-12-21,BRM8,62.88,62.88,62.88,62.88,2943226.4,36790.33,1.0,80.0
RFUD,2017-12-22,BRM8,63.06,62.88,63.06,62.95,5215401.56,1248880.62,34.0,142.0
RFUD,2017-12-25,BRM8,63.0,62.86,63.83,63.02,5115283.6,402112.22,11.0,140.0
RFUD,2017-12-26,BRM8,63.13,63.13,63.9,63.9,6712767.88,1139123.68,31.0,182.0
RFUD,2017-12-27,BRM8,64.84,64.36,64.85,64.41,35450325.18,15312068.8,412.0,954.0
RFUD,2017-12-28,BRM8,64.79,64.32,65.17,64.73,35381515.0,186356.59,5.0,950.0
