BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2017-06-27,BRN8,,,,,0.0,,,
RFUD,2017-06-28,BRN8,,,,,0.0,,,
RFUD,2017-06-29,BRN8,,,,,0.0,,,
RFUD,2017-06-30,BRN8,52.36,50.0,52.41,51.0,241461.36,274697.79,9.0,8.0
RFUD,2017-07-03,BRN8,,,,,245819.12,,,8.0
RFUD,2017-07-04,BRN8,52.0,52.0,52.0,52.0,246769.12,30846.14,1.0,8.0
RFUD,2017-07-05,BRN8,51.75,51.5,51.75,51.5,309414.6,185798.96,6.0,10.0
RFUD,2017-07-06,BRN8,,,,,306601.0,,,10.0
RFUD,2017-07-07,BRN8,,,,,301043.1,,,10.0
RFUD,2017-07-10,BRN8,,,,,301186.0,,,10.0
RFUD,2017-07-11,BRN8,51.35,48.54,51.35,48.54,298515.8,60854.58,2.0,10.0
RFUD,2017-07-12,BRN8,51.25,51.25,51.25,51.25,246288.24,30786.03,1.0,8.0
RFUD,2017-07-13,BRN8,,,,,241777.68,,,8.0
RFUD,2017-07-14,BRN8,51.6,50.27,52.42,52.42,186121.32,213709.3,7.0,6.0
RFUD,2017-07-17,BRN8,,,,,183109.44,,,6.0
RFUD,2017-07-18,BRN8,,,,,184013.16,,,6.0
RFUD,2017-07-19,BRN8,,,,,182934.24,,,6.0
RFUD,2017-07-20,BRN8,51.22,50.21,52.02,52.02,1534096.0,834598.84,28.0,50.0
RFUD,2017-07-21,BRN8,,,,,1521844.5,,,50.0
RFUD,2017-07-24,BRN8,51.76,49.84,51.76,50.7,1522916.5,274545.49,9.0,50.0
RFUD,2017-07-25,BRN8,,,,,1556577.0,,,50.0
RFUD,2017-07-26,BRN8,,,,,1573857.0,,,50.0
RFUD,2017-07-27,BRN8,,,,,1586760.5,,,50.0
RFUD,2017-07-28,BRN8,,,,,1601844.5,,,50.0
RFUD,2017-07-31,BRN8,,,,,1624316.5,,,50.0
RFUD,2017-08-01,BRN8,53.64,53.64,53.64,53.64,1614588.0,32291.76,1.0,50.0
RFUD,2017-08-02,BRN8,,,,,1612681.5,,,50.0
RFUD,2017-08-03,BRN8,54.05,54.05,54.05,54.05,1626164.5,32523.29,1.0,50.0
RFUD,2017-08-04,BRN8,52.9,52.53,53.1,53.1,1846204.38,253509.93,8.0,58.0
RFUD,2017-08-07,BRN8,54.84,53.15,54.84,53.9,1619218.0,260985.49,8.0,50.0
RFUD,2017-08-08,BRN8,53.89,53.89,53.89,53.89,1675665.16,32224.33,1.0,52.0
RFUD,2017-08-09,BRN8,,,,,1691496.56,,,52.0
RFUD,2017-08-10,BRN8,55.37,55.37,55.37,55.37,1715130.56,33199.13,1.0,52.0
RFUD,2017-08-11,BRN8,52.37,52.37,52.37,52.37,1636021.4,31372.09,1.0,52.0
RFUD,2017-08-14,BRN8,,,,,1652859.52,,,52.0
RFUD,2017-08-15,BRN8,,,,,1619036.64,,,52.0
RFUD,2017-08-16,BRN8,,,,,1622175.88,,,52.0
RFUD,2017-08-17,BRN8,,,,,1607300.76,,,52.0
RFUD,2017-08-18,BRN8,51.52,51.52,51.52,51.52,1592255.6,91647.42,3.0,52.0
RFUD,2017-08-21,BRN8,52.31,52.31,52.64,52.61,1676881.98,216854.16,7.0,54.0
RFUD,2017-08-22,BRN8,,,,,1685295.18,,,54.0
RFUD,2017-08-23,BRN8,,,,,1673652.24,,,54.0
RFUD,2017-08-24,BRN8,,,,,1675671.3,,,54.0
RFUD,2017-08-25,BRN8,,,,,1672165.62,,,54.0
RFUD,2017-08-28,BRN8,52.07,51.44,52.07,51.44,1746961.16,60608.93,2.0,58.0
RFUD,2017-08-29,BRN8,51.57,51.57,51.57,51.57,1817700.0,30295.0,1.0,60.0
RFUD,2017-08-30,BRN8,,,,,1826497.2,,,60.0
RFUD,2017-08-31,BRN8,,,,,1825665.6,,,60.0
RFUD,2017-09-01,BRN8,52.31,52.31,52.31,52.31,1812945.6,30112.15,1.0,60.0
RFUD,2017-09-04,BRN8,,,,,1830139.2,,,60.0
RFUD,2017-09-05,BRN8,53.2,53.2,53.47,53.47,1840416.0,122539.51,4.0,60.0
RFUD,2017-09-06,BRN8,54.2,54.2,54.2,54.2,1864108.2,31068.47,1.0,60.0
RFUD,2017-09-07,BRN8,,,,,1868749.2,,,60.0
RFUD,2017-09-08,BRN8,54.38,54.16,54.42,54.16,2108879.92,217869.32,7.0,68.0
RFUD,2017-09-11,BRN8,53.12,53.12,53.12,53.12,2187265.68,60757.38,2.0,72.0
RFUD,2017-09-12,BRN8,,,,,2243396.16,,,72.0
RFUD,2017-09-13,BRN8,,,,,2242308.96,,,72.0
RFUD,2017-09-14,BRN8,54.85,54.85,54.85,54.85,2206610.7,31523.01,1.0,70.0
RFUD,2017-09-15,BRN8,,,,,2223191.6,,,70.0
RFUD,2017-09-18,BRN8,,,,,2212137.9,,,70.0
RFUD,2017-09-19,BRN8,,,,,2256886.1,,,70.0
RFUD,2017-09-20,BRN8,,,,,2257871.7,,,70.0
RFUD,2017-09-21,BRN8,,,,,2258510.1,,,70.0
RFUD,2017-09-22,BRN8,55.5,55.5,55.5,55.5,2298986.64,31930.37,1.0,72.0
RFUD,2017-09-25,BRN8,,,,,2378172.96,,,72.0
