BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2020-07-27,BRQ1,43.22,43.22,49.93,49.93,0.0,200587.23,6.0,0.0
RFUD,2020-07-28,BRQ1,,,,,0.0,,,
RFUD,2020-07-29,BRQ1,47.9,47.9,47.9,47.9,69418.7,34709.35,1.0,2.0
RFUD,2020-07-30,BRQ1,45.56,45.56,45.56,45.56,67126.0,33563.0,1.0,2.0
RFUD,2020-07-31,BRQ1,,,,,68723.16,,,2.0
RFUD,2020-08-03,BRQ1,47.01,47.01,47.01,47.01,67934.42,34488.09,1.0,2.0
RFUD,2020-08-04,BRQ1,48.28,47.0,48.28,47.11,138822.04,139706.08,4.0,4.0
RFUD,2020-08-05,BRQ1,48.0,48.0,48.0,48.0,209312.16,34878.1,1.0,6.0
RFUD,2020-08-06,BRQ1,47.83,47.83,48.47,48.47,284772.48,70723.1,2.0,8.0
RFUD,2020-08-07,BRQ1,47.8,47.05,48.1,48.1,212561.1,105286.25,3.0,6.0
RFUD,2020-08-10,BRQ1,,,,,209525.58,,,6.0
RFUD,2020-08-11,BRQ1,48.9,48.9,48.9,48.9,428375.16,107093.79,3.0,12.0
RFUD,2020-08-12,BRQ1,48.42,48.0,49.0,49.0,1080961.5,431222.75,12.0,30.0
RFUD,2020-08-13,BRQ1,49.3,49.3,49.3,49.3,1222920.5,72082.72,2.0,34.0
RFUD,2020-08-14,BRQ1,48.75,48.75,48.75,48.75,1421409.6,106605.72,3.0,40.0
RFUD,2020-08-17,BRQ1,48.4,48.4,48.4,48.4,1422282.4,35557.06,1.0,40.0
RFUD,2020-08-18,BRQ1,48.77,48.75,48.77,48.75,1570686.92,107114.26,3.0,44.0
RFUD,2020-08-19,BRQ1,,,,,1574495.12,,,44.0
RFUD,2020-08-20,BRQ1,,,,,1580887.44,,,44.0
RFUD,2020-08-21,BRQ1,48.0,48.0,48.69,48.69,1729734.72,144952.19,4.0,48.0
RFUD,2020-08-24,BRQ1,,,,,1720281.6,,,48.0
RFUD,2020-08-25,BRQ1,49.21,49.21,49.21,49.21,1777833.6,37038.2,1.0,48.0
RFUD,2020-08-26,BRQ1,,,,,1766671.68,,,48.0
RFUD,2020-08-27,BRQ1,48.78,48.74,49.8,48.74,1978765.2,184835.44,5.0,54.0
RFUD,2020-08-28,BRQ1,48.56,48.56,48.56,48.56,1952515.8,36053.76,1.0,54.0
RFUD,2020-08-31,BRQ1,,,,,1944633.96,,,54.0
RFUD,2020-09-01,BRQ1,48.02,48.02,48.02,48.02,1912791.24,35297.1,1.0,54.0
RFUD,2020-09-02,BRQ1,48.5,48.5,48.5,48.5,2125989.42,73309.98,2.0,58.0
RFUD,2020-09-03,BRQ1,47.9,47.3,48.2,47.3,2641261.28,361469.9,10.0,74.0
RFUD,2020-09-04,BRQ1,,,,,2641361.18,,,74.0
RFUD,2020-09-07,BRQ1,46.81,46.6,46.9,46.6,2897260.9,212889.37,6.0,82.0
RFUD,2020-09-08,BRQ1,46.23,44.2,46.23,44.2,2905751.66,174007.21,5.0,86.0
RFUD,2020-09-09,BRQ1,45.2,44.02,45.2,44.5,3287816.7,234233.49,7.0,98.0
RFUD,2020-09-10,BRQ1,44.9,44.9,44.9,44.9,3641133.6,168571.0,5.0,108.0
RFUD,2020-09-15,BRQ1,44.18,44.17,44.18,44.17,5632312.5,66270.01,2.0,170.0
RFUD,2020-09-16,BRQ1,45.52,45.52,45.52,45.52,5753415.36,34044.59,1.0,168.0
RFUD,2020-09-17,BRQ1,47.08,46.12,47.16,46.22,6255014.4,491008.55,14.0,180.0
RFUD,2020-09-18,BRQ1,46.96,46.37,46.96,46.37,6448596.48,176662.09,5.0,184.0
RFUD,2020-09-21,BRQ1,45.25,45.0,45.25,45.0,6675596.8,103584.74,3.0,190.0
RFUD,2020-09-22,BRQ1,,,,,6554274.2,,,190.0
RFUD,2020-09-23,BRQ1,,,,,6564101.0,,,190.0
RFUD,2020-09-24,BRQ1,,,,,6554538.3,,,190.0
RFUD,2020-09-25,BRQ1,46.08,46.08,46.08,46.08,6879384.96,36064.93,1.0,192.0
RFUD,2020-09-28,BRQ1,45.01,45.0,45.01,45.0,6900611.04,71148.22,2.0,194.0
RFUD,2020-09-29,BRQ1,44.02,44.02,45.0,45.0,7048863.36,106072.81,3.0,198.0
RFUD,2020-09-30,BRQ1,44.68,44.68,44.68,44.68,6869354.58,69387.42,2.0,198.0
RFUD,2020-10-01,BRQ1,45.0,43.7,45.0,43.7,8464122.5,956991.94,28.0,250.0
RFUD,2020-10-02,BRQ1,43.7,43.7,43.7,43.7,8618359.68,34199.84,1.0,252.0
RFUD,2020-10-05,BRQ1,,,,,8772074.64,,,252.0
RFUD,2020-10-06,BRQ1,45.0,45.0,45.4,45.4,8944394.76,70596.8,2.0,252.0
RFUD,2020-10-07,BRQ1,45.24,44.2,45.24,44.2,8648272.5,208873.37,6.0,250.0
RFUD,2020-10-08,BRQ1,44.84,44.84,46.15,46.15,8573128.8,246117.62,7.0,240.0
RFUD,2020-10-09,BRQ1,,,,,8484168.0,,,240.0
RFUD,2020-10-12,BRQ1,46.04,45.06,46.04,45.06,8405945.02,70226.07,2.0,242.0
RFUD,2020-10-13,BRQ1,,,,,8462524.62,,,242.0
RFUD,2020-10-14,BRQ1,45.73,45.73,45.73,45.73,8581010.24,35458.72,1.0,242.0
RFUD,2020-10-15,BRQ1,45.2,45.1,45.2,45.1,8543580.1,70686.38,2.0,242.0
RFUD,2020-10-16,BRQ1,,,,,8491024.96,,,242.0
RFUD,2020-10-19,BRQ1,,,,,8462740.0,,,242.0
RFUD,2020-10-20,BRQ1,,,,,8469044.1,,,242.0
RFUD,2020-10-21,BRQ1,,,,,8300544.34,,,242.0
RFUD,2020-10-22,BRQ1,,,,,8314028.58,,,242.0
RFUD,2020-10-23,BRQ1,,,,,8228595.32,,,242.0
RFUD,2020-10-26,BRQ1,43.81,43.31,43.81,43.31,8515914.36,298598.64,9.0,258.0
RFUD,2020-10-27,BRQ1,,,,,8597764.86,,,258.0
RFUD,2020-10-28,BRQ1,43.83,42.52,43.84,42.52,9028427.4,645226.96,19.0,270.0
RFUD,2020-10-29,BRQ1,42.01,42.0,42.01,42.0,9062333.54,66330.01,2.0,274.0
RFUD,2020-10-30,BRQ1,41.9,41.67,41.9,41.68,9143356.06,99503.48,3.0,278.0
RFUD,2020-11-02,BRQ1,38.87,38.87,41.8,41.8,9291426.84,419244.97,13.0,276.0
RFUD,2020-11-03,BRQ1,41.81,41.8,43.0,43.0,9820028.16,266133.57,8.0,288.0
RFUD,2020-11-05,BRQ1,43.2,43.2,43.78,43.78,9325852.32,403881.92,12.0,276.0
RFUD,2020-11-06,BRQ1,43.84,42.72,43.87,42.72,9541906.56,504179.23,15.0,288.0
RFUD,2020-11-09,BRQ1,43.28,43.28,45.29,45.29,9660406.32,402911.08,12.0,282.0
RFUD,2020-11-10,BRQ1,,,,,9728966.16,,,282.0
