BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2016-11-22,BRU7,,,,,0.0,,,
RFUD,2016-11-23,BRU7,49.12,49.12,49.12,49.12,0.0,63515.5,2.0,0.0
RFUD,2016-11-24,BRU7,,,,,0.0,,,
RFUD,2016-11-25,BRU7,,,,,0.0,,,
RFUD,2016-11-28,BRU7,,,,,0.0,,,
RFUD,2016-11-29,BRU7,,,,,0.0,,,
RFUD,2016-11-30,BRU7,49.3,49.3,53.0,53.0,0.0,3231311.86,98.0,0.0
RFUD,2016-12-01,BRU7,,,,,0.0,,,
RFUD,2016-12-02,BRU7,55.13,54.78,56.18,55.76,997115.28,491853.04,14.0,28.0
RFUD,2016-12-05,BRU7,,,,,1041979.12,,,28.0
RFUD,2016-12-06,BRU7,,,,,1025076.92,,,28.0
RFUD,2016-12-07,BRU7,56.46,56.46,56.6,56.6,1082254.2,72061.05,2.0,30.0
RFUD,2016-12-08,BRU7,56.0,55.76,56.0,55.76,1059870.9,106284.89,3.0,30.0
RFUD,2016-12-09,BRU7,55.43,55.2,56.05,56.05,1194879.68,139621.04,4.0,34.0
RFUD,2016-12-12,BRU7,58.05,56.82,59.3,58.31,1997414.16,500986.77,14.0,56.0
RFUD,2016-12-13,BRU7,57.72,57.72,57.72,57.72,1967092.4,35114.48,1.0,56.0
RFUD,2016-12-14,BRU7,,,,,1979424.72,,,56.0
RFUD,2016-12-15,BRU7,,,,,1993891.2,,,56.0
RFUD,2016-12-16,BRU7,57.29,57.29,57.29,57.29,1978235.84,35325.64,1.0,56.0
RFUD,2016-12-19,BRU7,58.76,58.5,58.93,58.5,2094122.48,108742.54,3.0,58.0
RFUD,2016-12-20,BRU7,58.31,58.31,58.31,58.31,2005339.28,35809.63,1.0,56.0
RFUD,2016-12-21,BRU7,,,,,1963692.64,,,56.0
RFUD,2016-12-22,BRU7,,,,,1965821.76,,,56.0
RFUD,2016-12-23,BRU7,,,,,1988930.72,,,56.0
RFUD,2016-12-26,BRU7,57.38,57.38,59.15,59.15,2597910.48,285417.56,8.0,72.0
RFUD,2016-12-27,BRU7,57.45,57.45,58.8,58.8,2071235.1,947906.97,27.0,58.0
RFUD,2016-12-28,BRU7,,,,,2043585.92,,,58.0
RFUD,2016-12-29,BRU7,,,,,2064306.42,,,58.0
RFUD,2016-12-30,BRU7,58.44,58.44,58.49,58.49,2213709.38,142783.32,4.0,62.0
RFUD,2017-01-03,BRU7,60.81,60.26,61.5,60.26,2114397.54,110448.28,3.0,58.0
RFUD,2017-01-04,BRU7,,,,,2061440.64,,,58.0
RFUD,2017-01-05,BRU7,,,,,2043293.6,,,58.0
RFUD,2017-01-06,BRU7,,,,,2045513.26,,,58.0
RFUD,2017-01-09,BRU7,57.99,57.99,59.97,58.42,2169348.38,140736.57,4.0,62.0
RFUD,2017-01-10,BRU7,,,,,2171899.06,,,62.0
RFUD,2017-01-11,BRU7,57.5,57.5,57.5,57.5,2086822.2,34780.37,1.0,60.0
