BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2016-11-22,BRV7,,,,,0.0,,,
RFUD,2016-11-23,BRV7,49.29,49.29,49.31,49.31,0.0,63748.25,2.0,0.0
RFUD,2016-11-24,BRV7,,,,,0.0,,,
RFUD,2016-11-25,BRV7,,,,,0.0,,,
RFUD,2016-11-28,BRV7,,,,,0.0,,,
RFUD,2016-11-29,BRV7,,,,,0.0,,,
RFUD,2016-11-30,BRV7,,,,,0.0,,,
RFUD,2016-12-01,BRV7,,,,,0.0,,,
RFUD,2016-12-02,BRV7,,,,,0.0,,,
RFUD,2016-12-05,BRV7,,,,,0.0,,,
RFUD,2016-12-06,BRV7,,,,,0.0,,,
RFUD,2016-12-07,BRV7,,,,,0.0,,,
RFUD,2016-12-08,BRV7,57.1,56.83,57.1,56.83,144027.92,72185.03,2.0,4.0
RFUD,2016-12-09,BRV7,,,,,141376.64,,,4.0
RFUD,2016-12-12,BRV7,,,,,144385.2,,,4.0
RFUD,2016-12-13,BRV7,,,,,142672.36,,,4.0
RFUD,2016-12-14,BRV7,,,,,143541.96,,,4.0
RFUD,2016-12-15,BRV7,,,,,142742.4,,,4.0
RFUD,2016-12-16,BRV7,,,,,142313.8,,,4.0
RFUD,2016-12-19,BRV7,59.0,58.6,59.6,58.6,289338.24,145533.17,4.0,8.0
RFUD,2016-12-20,BRV7,,,,,285150.56,,,8.0
RFUD,2016-12-21,BRV7,,,,,283603.28,,,8.0
RFUD,2016-12-22,BRV7,,,,,282436.72,,,8.0
RFUD,2016-12-23,BRV7,,,,,283545.2,,,8.0
RFUD,2016-12-26,BRV7,,,,,282215.04,,,8.0
RFUD,2016-12-27,BRV7,,,,,282918.16,,,8.0
RFUD,2016-12-28,BRV7,,,,,283420.24,,,8.0
RFUD,2016-12-29,BRV7,,,,,287016.0,,,8.0
RFUD,2016-12-30,BRV7,58.65,58.65,58.94,58.94,215878.14,71782.35,2.0,6.0
RFUD,2017-01-03,BRV7,,,,,222070.2,,,6.0
RFUD,2017-01-04,BRV7,,,,,214452.36,,,6.0
RFUD,2017-01-05,BRV7,,,,,208958.22,,,6.0
RFUD,2017-01-06,BRV7,,,,,210498.42,,,6.0
RFUD,2017-01-09,BRV7,,,,,213674.28,,,6.0
RFUD,2017-01-10,BRV7,,,,,208635.66,,,6.0
RFUD,2017-01-11,BRV7,58.0,58.0,58.57,58.57,211912.26,70510.4,2.0,6.0
RFUD,2017-01-12,BRV7,,,,,210314.46,,,6.0
RFUD,2017-01-13,BRV7,,,,,204174.78,,,6.0
RFUD,2017-01-16,BRV7,,,,,205657.2,,,6.0
RFUD,2017-01-17,BRV7,59.3,59.3,59.3,59.3,281499.92,35187.49,1.0,8.0
RFUD,2017-01-18,BRV7,58.3,58.3,58.3,58.3,276460.96,34557.62,1.0,8.0
RFUD,2017-01-19,BRV7,57.64,57.64,57.64,57.64,345178.9,34517.89,1.0,10.0
RFUD,2017-01-20,BRV7,,,,,350702.0,,,10.0
RFUD,2017-01-23,BRV7,,,,,346113.9,,,10.0
RFUD,2017-01-24,BRV7,,,,,347528.8,,,10.0
RFUD,2017-01-25,BRV7,,,,,347659.0,,,10.0
RFUD,2017-01-26,BRV7,,,,,354944.5,,,10.0
RFUD,2017-01-27,BRV7,,,,,351056.0,,,10.0
RFUD,2017-01-30,BRV7,57.4,57.4,57.4,57.4,275483.04,34429.38,1.0,8.0
RFUD,2017-01-31,BRV7,,,,,279574.88,,,8.0
RFUD,2017-02-01,BRV7,57.56,56.1,58.52,58.52,7251595.52,3419525.81,101.0,206.0
RFUD,2017-02-02,BRV7,58.44,58.44,59.94,58.64,489442.38,3856845.06,109.0,14.0
RFUD,2017-02-03,BRV7,58.64,58.64,58.64,58.64,483540.54,103615.83,3.0,14.0
RFUD,2017-02-06,BRV7,,,,,480218.48,,,14.0
RFUD,2017-02-07,BRV7,,,,,474986.12,,,14.0
RFUD,2017-02-08,BRV7,,,,,478860.48,,,14.0
RFUD,2017-02-09,BRV7,,,,,476137.76,,,14.0
RFUD,2017-02-10,BRV7,,,,,475638.66,,,14.0
RFUD,2017-02-13,BRV7,,,,,470641.36,,,14.0
RFUD,2017-02-14,BRV7,,,,,465908.38,,,14.0
RFUD,2017-02-15,BRV7,,,,,465770.76,,,14.0
RFUD,2017-02-16,BRV7,,,,,462990.36,,,14.0
RFUD,2017-02-17,BRV7,,,,,470785.42,,,14.0
RFUD,2017-02-20,BRV7,,,,,468146.98,,,14.0
RFUD,2017-02-21,BRV7,58.13,58.13,58.13,58.13,535233.12,33452.07,1.0,16.0
RFUD,2017-02-22,BRV7,,,,,539366.88,,,16.0
RFUD,2017-02-24,BRV7,,,,,538278.88,,,16.0
RFUD,2017-02-27,BRV7,,,,,539076.48,,,16.0
RFUD,2017-02-28,BRV7,,,,,541637.92,,,16.0
RFUD,2017-03-01,BRV7,,,,,538963.68,,,16.0
RFUD,2017-03-02,BRV7,,,,,536544.32,,,16.0
RFUD,2017-03-03,BRV7,,,,,532780.32,,,16.0
RFUD,2017-03-06,BRV7,,,,,531551.84,,,16.0
RFUD,2017-03-07,BRV7,,,,,533958.24,,,16.0
RFUD,2017-03-09,BRV7,56.43,54.36,56.43,54.36,451777.76,228257.45,7.0,14.0
RFUD,2017-03-10,BRV7,,,,,445607.82,,,14.0
RFUD,2017-03-13,BRV7,53.55,53.55,53.55,53.55,378396.6,31568.42,1.0,12.0
RFUD,2017-03-14,BRV7,,,,,366467.88,,,12.0
RFUD,2017-03-15,BRV7,,,,,371389.8,,,12.0
RFUD,2017-03-16,BRV7,,,,,363671.76,,,12.0
RFUD,2017-03-17,BRV7,,,,,368809.2,,,12.0
RFUD,2017-03-20,BRV7,,,,,363225.96,,,12.0
RFUD,2017-03-21,BRV7,,,,,363881.16,,,12.0
RFUD,2017-03-22,BRV7,,,,,368853.96,,,12.0
RFUD,2017-03-23,BRV7,52.16,52.16,52.16,52.16,480275.04,60034.38,2.0,16.0
