BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2016-11-30,BRZ7,,,,,0.0,,,
RFUD,2016-12-01,BRZ7,,,,,0.0,,,
RFUD,2016-12-02,BRZ7,54.01,54.01,59.09,59.09,679161.78,425726.07,12.0,18.0
RFUD,2016-12-05,BRZ7,58.0,58.0,60.71,59.0,676378.26,720502.03,19.0,18.0
RFUD,2016-12-06,BRZ7,58.5,56.31,60.48,58.25,1415475.68,1749709.56,47.0,38.0
RFUD,2016-12-07,BRZ7,58.13,58.13,58.8,58.25,1188057.6,222881.92,6.0,32.0
RFUD,2016-12-08,BRZ7,58.18,58.18,58.18,58.18,1105869.6,36862.32,1.0,30.0
RFUD,2016-12-09,BRZ7,58.18,58.18,58.18,58.18,1021412.84,36479.03,1.0,28.0
RFUD,2016-12-12,BRZ7,,,,,1018061.24,,,28.0
RFUD,2016-12-13,BRZ7,58.4,58.4,58.4,58.4,994788.76,35528.17,1.0,28.0
RFUD,2016-12-14,BRZ7,58.4,58.4,59.4,59.4,1015590.52,72101.49,2.0,28.0
RFUD,2016-12-15,BRZ7,,,,,1006816.44,,,28.0
RFUD,2016-12-16,BRZ7,,,,,1006037.76,,,28.0
RFUD,2016-12-19,BRZ7,59.26,59.26,59.45,59.45,1170782.72,73266.51,2.0,32.0
RFUD,2016-12-20,BRZ7,59.27,59.27,59.27,59.27,1164774.08,36399.19,1.0,32.0
RFUD,2016-12-21,BRZ7,,,,,1158823.68,,,32.0
RFUD,2016-12-22,BRZ7,59.0,58.4,59.36,58.93,1504752.48,430373.04,12.0,42.0
RFUD,2016-12-23,BRZ7,,,,,1512269.64,,,42.0
RFUD,2016-12-26,BRZ7,,,,,1519034.58,,,42.0
RFUD,2016-12-27,BRZ7,,,,,1511083.14,,,42.0
RFUD,2016-12-28,BRZ7,,,,,1518654.06,,,42.0
RFUD,2016-12-29,BRZ7,61.17,61.17,61.17,61.17,1486350.4,37158.76,1.0,40.0
RFUD,2016-12-30,BRZ7,60.09,60.09,60.09,60.09,1540631.4,36681.7,1.0,42.0
RFUD,2017-01-03,BRZ7,60.0,60.0,60.96,60.96,1548901.62,110055.06,3.0,42.0
RFUD,2017-01-04,BRZ7,60.44,58.18,62.0,58.26,1765286.5,920112.48,25.0,50.0
RFUD,2017-01-05,BRZ7,60.0,60.0,60.0,60.0,1777158.0,35543.16,1.0,50.0
RFUD,2017-01-06,BRZ7,61.0,59.55,61.0,59.55,1771106.5,674150.64,19.0,50.0
RFUD,2017-01-09,BRZ7,60.64,59.5,60.64,59.5,1924362.36,253131.81,7.0,54.0
RFUD,2017-01-10,BRZ7,59.0,59.0,59.5,59.5,1927296.72,142510.7,4.0,54.0
RFUD,2017-01-11,BRZ7,58.64,58.0,59.1,58.9,1710105.6,248519.36,7.0,48.0
RFUD,2017-01-12,BRZ7,,,,,1702995.84,,,48.0
RFUD,2017-01-13,BRZ7,59.5,59.5,60.0,59.64,1776520.5,106722.3,3.0,50.0
RFUD,2017-01-16,BRZ7,,,,,1779369.0,,,50.0
RFUD,2017-01-17,BRZ7,,,,,1777473.0,,,50.0
RFUD,2017-01-18,BRZ7,59.19,59.0,59.19,59.0,1748627.5,105083.61,3.0,50.0
RFUD,2017-01-19,BRZ7,58.5,58.5,58.5,58.5,1681579.2,35032.9,1.0,48.0
RFUD,2017-01-20,BRZ7,58.68,56.19,60.96,59.35,1487738.28,2469238.17,71.0,42.0
RFUD,2017-01-23,BRZ7,59.3,59.3,59.3,59.3,1408927.6,35223.19,1.0,40.0
RFUD,2017-01-24,BRZ7,,,,,1410976.4,,,40.0
RFUD,2017-01-25,BRZ7,59.43,59.43,59.43,59.43,1334610.16,35204.25,1.0,38.0
RFUD,2017-01-26,BRZ7,,,,,1373579.54,,,38.0
RFUD,2017-01-27,BRZ7,59.0,59.0,60.39,60.39,2077756.04,431417.85,12.0,58.0
RFUD,2017-01-30,BRZ7,59.04,59.04,59.61,59.04,2195610.96,213762.07,6.0,62.0
RFUD,2017-01-31,BRZ7,59.04,59.0,59.39,59.39,2277633.92,212455.56,6.0,64.0
RFUD,2017-02-01,BRZ7,58.72,58.72,58.72,58.72,2264488.32,35370.58,1.0,64.0
RFUD,2017-02-02,BRZ7,59.23,59.05,60.0,60.0,2432426.64,141563.66,4.0,68.0
RFUD,2017-02-03,BRZ7,,,,,2383069.52,,,68.0
RFUD,2017-02-06,BRZ7,,,,,2391464.12,,,68.0
RFUD,2017-02-07,BRZ7,59.0,58.14,59.0,58.4,2422213.5,173572.22,5.0,70.0
RFUD,2017-02-08,BRZ7,58.2,58.0,58.2,58.0,2408420.7,68930.66,2.0,70.0
RFUD,2017-02-09,BRZ7,58.35,58.35,58.35,58.35,2542876.06,68726.38,2.0,74.0
RFUD,2017-02-10,BRZ7,59.05,57.4,59.53,59.53,2789152.0,240970.21,7.0,80.0
RFUD,2017-02-13,BRZ7,,,,,2720970.4,,,80.0
RFUD,2017-02-14,BRZ7,58.6,58.26,58.89,58.89,2976585.04,336169.05,10.0,88.0
RFUD,2017-02-15,BRZ7,58.43,58.43,58.43,58.43,2887353.68,33573.88,1.0,86.0
RFUD,2017-02-16,BRZ7,,,,,2880641.38,,,86.0
RFUD,2017-02-17,BRZ7,59.17,59.17,59.18,59.18,2876497.68,68831.18,2.0,84.0
RFUD,2017-02-20,BRZ7,,,,,2847907.44,,,84.0
RFUD,2017-02-21,BRZ7,,,,,2838977.4,,,84.0
RFUD,2017-02-22,BRZ7,57.73,57.72,57.73,57.72,2810736.6,100389.25,3.0,84.0
