BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-01-04,НЛМК ао,NLMK,6133,221700258.2,62.99,61.11,63.0,61.48,61.58,61.48,3601280,61.56,61.56,61.48,221700258.2,221700258.2,221700258.2,,3
TQBR,2016-01-05,НЛМК ао,NLMK,11936,288543509.1,60.22,59.53,60.92,60.75,60.33,60.75,4784740,60.3,60.3,60.75,288543509.1,288543509.1,288543509.1,,3
TQBR,2016-01-06,НЛМК ао,NLMK,5158,140836126.9,60.7,60.12,61.2,60.75,60.63,60.75,2324270,60.59,60.59,60.75,140836126.9,140836126.9,140836126.9,,3
TQBR,2016-01-11,НЛМК ао,NLMK,8129,249519335.8,58.8,58.5,59.95,59.34,59.26,59.34,4210170,59.27,59.27,59.34,249519335.8,249519335.8,249519335.8,,3
TQBR,2016-01-12,НЛМК ао,NLMK,9012,233495916.4,59.31,58.84,61.26,60.91,60.16,60.91,3880460,60.17,60.17,60.91,233495916.4,233495916.4,233495916.4,,3
TQBR,2016-01-13,НЛМК ао,NLMK,7544,243170981.5,61.02,60.96,62.59,61.06,61.85,61.06,3932030,61.84,61.84,61.06,243170981.5,243170981.5,243170981.5,,3
TQBR,2016-01-14,НЛМК ао,NLMK,10542,358632642.2,60.6,59.36,61.1,60.15,60.05,60.15,5980320,59.97,59.97,60.15,358632642.2,358632642.2,358632642.2,,3
TQBR,2016-01-15,НЛМК ао,NLMK,18141,451850109.4,60.02,57.0,60.51,57.5,58.25,57.5,7753860,58.27,58.27,57.5,451850109.4,451850109.4,451850109.4,,3
TQBR,2016-01-18,НЛМК ао,NLMK,8790,276553367.2,56.51,55.51,58.27,58.14,57.23,58.14,4832260,57.23,57.23,58.14,276553367.2,276553367.2,276553367.2,,3
TQBR,2016-01-19,НЛМК ао,NLMK,10310,288957570.8,58.61,57.64,60.09,58.39,59.08,58.39,4890250,59.09,59.09,58.39,288957570.8,288957570.8,288957570.8,,3
TQBR,2016-01-20,НЛМК ао,NLMK,10059,279174403.3,57.52,56.6,58.19,57.2,57.3,57.2,4872560,57.3,57.3,57.2,279174403.3,279174403.3,279174403.3,,3
TQBR,2016-01-21,НЛМК ао,NLMK,10395,287786689.4,57.54,57.53,60.25,60.1,59.22,60.1,4858950,59.23,59.23,60.1,287786689.4,287786689.4,287786689.4,,3
TQBR,2016-01-22,НЛМК ао,NLMK,12764,359989553.5,60.55,60.4,62.1,62.0,61.34,62.0,5868490,61.34,61.34,62.0,359989553.5,359989553.5,359989553.5,,3
TQBR,2016-01-25,НЛМК ао,NLMK,10285,255372720.9,62.11,60.38,62.87,62.4,62.04,62.4,4116620,62.03,62.03,62.4,255372720.9,255372720.9,255372720.9,,3
TQBR,2016-01-26,НЛМК ао,NLMK,11789,337898642.9,61.6,61.31,63.68,63.59,62.9,63.59,5371030,62.91,62.91,63.59,337898642.9,337898642.9,337898642.9,,3
TQBR,2016-01-27,НЛМК ао,NLMK,19395,640333060.5,63.7,63.7,66.1,66.1,65.08,66.1,9838790,65.08,65.08,66.1,640333060.5,640333060.5,640333060.5,,3
TQBR,2016-01-28,НЛМК ао,NLMK,22096,644878559.3,66.02,64.2,67.03,64.61,65.69,64.61,9817530,65.69,65.69,64.61,644878559.3,644878559.3,644878559.3,,3
TQBR,2016-01-29,НЛМК ао,NLMK,9540,414887272.6,64.61,63.34,66.3,65.5,64.47,65.5,6438560,64.44,64.44,65.5,414887272.6,414887272.6,414887272.6,,3
TQBR,2016-02-01,НЛМК ао,NLMK,15820,368962407.3,65.5,65.33,67.14,66.03,66.43,66.03,5553800,66.43,66.43,66.03,368962407.3,368962407.3,368962407.3,,3
TQBR,2016-02-02,НЛМК ао,NLMK,13547,515920871.0,65.99,65.57,68.18,67.85,67.49,67.85,7643320,67.5,67.5,67.85,515920871.0,515920871.0,515920871.0,,3
TQBR,2016-02-03,НЛМК ао,NLMK,8686,321498243.1,67.74,67.25,68.97,68.5,68.21,68.5,4716830,68.16,68.16,68.5,321498243.1,321498243.1,321498243.1,,3
TQBR,2016-02-04,НЛМК ао,NLMK,7461,284333136.1,68.5,67.93,69.0,68.79,68.62,68.79,4143240,68.63,68.63,68.79,284333136.1,284333136.1,284333136.1,,3
TQBR,2016-02-05,НЛМК ао,NLMK,11173,472798391.1,68.51,67.28,71.05,71.0,69.35,71.0,6817100,69.35,69.35,71.0,472798391.1,472798391.1,472798391.1,,3
TQBR,2016-02-08,НЛМК ао,NLMK,17160,516249351.3,70.5,68.8,71.0,69.9,69.47,69.9,7432340,69.46,69.46,69.9,516249351.3,516249351.3,516249351.3,,3
TQBR,2016-02-09,НЛМК ао,NLMK,11015,354580264.6,69.82,69.17,70.5,70.1,69.68,70.1,5088590,69.68,69.68,70.1,354580264.6,354580264.6,354580264.6,,3
TQBR,2016-02-10,НЛМК ао,NLMK,8176,257657691.2,69.82,69.54,71.44,71.0,70.71,71.0,3643430,70.72,70.72,71.0,257657691.2,257657691.2,257657691.2,,3
TQBR,2016-02-11,НЛМК ао,NLMK,12036,417134915.0,70.89,69.91,72.35,72.3,71.33,72.3,5847430,71.34,71.34,72.3,417134915.0,417134915.0,417134915.0,,3
TQBR,2016-02-12,НЛМК ао,NLMK,8475,269724868.0,72.32,71.83,73.5,72.96,72.66,72.96,3712050,72.66,72.66,72.96,269724868.0,269724868.0,269724868.0,,3
TQBR,2016-02-15,НЛМК ао,NLMK,9755,349221656.8,73.4,72.78,75.12,75.0,74.25,75.0,4703470,74.25,74.25,75.0,349221656.8,349221656.8,349221656.8,,3
TQBR,2016-02-16,НЛМК ао,NLMK,17591,606151011.2,75.0,74.13,77.57,77.04,76.25,77.04,7949320,76.25,76.25,77.04,606151011.2,606151011.2,606151011.2,,3
