BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-01-04,Новатэк ао,NVTK,5357,495469059.0,594.1,570.3,594.1,571.0,574.9,571.0,861790,574.9,574.9,571.0,495469059.0,495469059.0,495469059.0,,3
TQBR,2016-01-05,Новатэк ао,NVTK,6012,587054683.0,572.4,566.8,575.7,573.6,570.7,573.6,1028660,570.7,570.7,573.6,587054683.0,587054683.0,587054683.0,,3
TQBR,2016-01-06,Новатэк ао,NVTK,3867,343223440.0,572.1,565.0,575.3,568.0,567.9,568.0,604380,567.9,567.9,568.0,343223440.0,343223440.0,343223440.0,,3
TQBR,2016-01-11,Новатэк ао,NVTK,9302,637733598.0,562.0,545.7,562.9,550.5,553.6,550.5,1151900,553.6,553.6,550.5,637733598.0,637733598.0,637733598.0,,3
TQBR,2016-01-12,Новатэк ао,NVTK,9291,697647097.0,548.9,537.0,568.9,567.0,558.7,567.0,1247610,559.2,559.2,567.0,697647097.0,697647097.0,697647097.0,,3
TQBR,2016-01-13,Новатэк ао,NVTK,7657,668091266.0,568.8,565.2,579.8,572.8,573.4,572.8,1165070,573.4,573.4,572.8,668091266.0,668091266.0,668091266.0,,3
TQBR,2016-01-14,Новатэк ао,NVTK,6689,505678759.0,567.8,560.7,577.0,576.1,568.6,576.1,889580,568.4,568.4,576.1,505678759.0,505678759.0,505678759.0,,3
TQBR,2016-01-15,Новатэк ао,NVTK,13949,1514199645.0,574.1,537.9,577.0,543.7,554.5,543.7,2732040,554.2,554.2,543.7,1514199645.0,1514199645.0,1514199645.0,,3
TQBR,2016-01-18,Новатэк ао,NVTK,5750,582130737.0,540.1,535.1,563.7,559.5,553.5,559.5,1051760,553.5,553.5,559.5,582130737.0,582130737.0,582130737.0,,3
TQBR,2016-01-19,Новатэк ао,NVTK,9007,817556598.0,564.5,555.4,584.6,561.8,571.0,561.8,1431840,571.0,571.0,561.8,817556598.0,817556598.0,817556598.0,,3
TQBR,2016-01-20,Новатэк ао,NVTK,13414,1273953035.0,555.6,540.0,555.6,553.7,546.4,553.7,2331170,546.5,546.5,553.7,1273953035.0,1273953035.0,1273953035.0,,3
TQBR,2016-01-21,Новатэк ао,NVTK,9287,879241685.0,553.0,552.9,572.1,568.1,565.8,568.1,1554020,565.8,565.8,568.1,879241685.0,879241685.0,879241685.0,,3
TQBR,2016-01-22,Новатэк ао,NVTK,14911,1480205542.0,580.0,569.0,602.0,593.5,585.1,593.5,2528400,585.4,585.4,593.5,1480205542.0,1480205542.0,1480205542.0,,3
