BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-01-04,Сургнфгз,SNGS,5134,355700352.0,34.19,33.76,34.33,34.05,34.045,34.05,10449400,34.04,34.04,34.05,355700352.0,355700352.0,355700352.0,,3
TQBR,2016-01-05,Сургнфгз,SNGS,5022,289046056.5,34.025,34.005,34.485,34.185,34.175,34.185,8456700,34.18,34.18,34.185,289046056.5,289046056.5,289046056.5,,3
TQBR,2016-01-06,Сургнфгз,SNGS,4370,319573505.0,34.17,33.76,34.31,34.005,34.01,34.005,9397200,34.005,34.005,34.005,319573505.0,319573505.0,319573505.0,,3
TQBR,2016-01-11,Сургнфгз,SNGS,10087,777867655.5,33.33,33.015,33.68,33.2,33.295,33.2,23361500,33.295,33.295,33.2,777867655.5,777867655.5,777867655.5,,3
TQBR,2016-01-12,Сургнфгз,SNGS,10664,783419276.0,33.02,32.85,34.355,34.1,33.755,34.1,23210600,33.755,33.755,34.1,783419276.0,783419276.0,783419276.0,,3
TQBR,2016-01-13,Сургнфгз,SNGS,8428,591686554.5,34.1,33.95,34.45,33.97,34.215,33.97,17292600,34.215,34.215,33.97,591686554.5,591686554.5,591686554.5,,3
TQBR,2016-01-14,Сургнфгз,SNGS,6774,500013517.0,33.91,33.59,34.15,34.0,33.935,34.0,14733600,33.935,33.935,34.0,500013517.0,500013517.0,500013517.0,,3
TQBR,2016-01-15,Сургнфгз,SNGS,18115,1355105667.0,34.01,32.29,34.2,32.465,33.14,32.465,40894200,33.135,33.135,32.465,1355105667.0,1355105667.0,1355105667.0,,3
TQBR,2016-01-18,Сургнфгз,SNGS,9968,669846918.0,32.14,32.0,33.68,33.68,32.935,33.68,20335200,32.94,32.94,33.68,669846918.0,669846918.0,669846918.0,,3
TQBR,2016-01-19,Сургнфгз,SNGS,15908,1063159200.0,33.7,33.62,34.985,33.78,34.405,33.78,30899000,34.41,34.41,33.78,1063159200.0,1063159200.0,1063159200.0,,3
TQBR,2016-01-20,Сургнфгз,SNGS,15955,1257670846.0,33.6,32.7,34.025,33.22,33.39,33.22,37666700,33.39,33.39,33.22,1257670846.0,1257670846.0,1257670846.0,,3
TQBR,2016-01-21,Сургнфгз,SNGS,13235,961368695.0,33.74,33.28,34.69,34.485,34.145,34.485,28153100,34.15,34.15,34.485,961368695.0,961368695.0,961368695.0,,3
TQBR,2016-01-22,Сургнфгз,SNGS,16954,1322531429.0,34.82,34.45,35.7,35.2,35.13,35.2,37632300,35.145,35.145,35.2,1322531429.0,1322531429.0,1322531429.0,,3
TQBR,2016-01-25,Сургнфгз,SNGS,11361,784950765.0,35.525,34.635,35.85,35.385,35.335,35.385,22216400,35.33,35.33,35.385,784950765.0,784950765.0,784950765.0,,3
TQBR,2016-01-26,Сургнфгз,SNGS,11492,660587977.0,35.16,34.835,36.0,35.215,35.21,35.215,18762000,35.21,35.21,35.215,660587977.0,660587977.0,660587977.0,,3
TQBR,2016-01-27,Сургнфгз,SNGS,7856,529293441.0,35.15,35.145,36.2,36.2,35.675,36.2,14833500,35.68,35.68,36.2,529293441.0,529293441.0,529293441.0,,3
TQBR,2016-01-28,Сургнфгз,SNGS,14470,1009388227.0,36.05,35.72,37.2,37.2,36.35,37.2,27767500,36.35,36.35,37.2,1009388227.0,1009388227.0,1009388227.0,,3
TQBR,2016-01-29,Сургнфгз,SNGS,13437,1245579559.0,37.2,36.565,37.78,36.565,37.195,36.565,33488600,37.195,37.195,36.565,1245579559.0,1245579559.0,1245579559.0,,3
TQBR,2016-02-01,Сургнфгз,SNGS,7720,541444786.0,36.81,36.335,37.085,36.71,36.725,36.71,14742300,36.725,36.725,36.71,541444786.0,541444786.0,541444786.0,,3
TQBR,2016-02-02,Сургнфгз,SNGS,14688,680613684.0,36.69,36.51,37.35,37.35,37.045,37.35,18371100,37.05,37.05,37.35,680613684.0,680613684.0,680613684.0,,3
TQBR,2016-02-03,Сургнфгз,SNGS,7144,407475949.0,37.25,36.28,37.28,36.495,36.88,36.495,11051100,36.87,36.87,36.495,407475949.0,407475949.0,407475949.0,,3
TQBR,2016-02-04,Сургнфгз,SNGS,15952,983115989.0,36.92,36.92,38.255,38.12,37.67,38.12,26094900,37.675,37.675,38.12,983115989.0,983115989.0,983115989.0,,3
TQBR,2016-02-05,Сургнфгз,SNGS,9226,595853427.5,38.0,37.575,38.385,37.7,37.92,37.7,15714300,37.92,37.92,37.7,595853427.5,595853427.5,595853427.5,,3
TQBR,2016-02-08,Сургнфгз,SNGS,9783,569620374.5,37.61,36.59,37.93,36.73,37.125,36.73,15346500,37.115,37.115,36.73,569620374.5,569620374.5,569620374.5,,3
TQBR,2016-02-09,Сургнфгз,SNGS,11040,572352127.5,36.76,36.1,37.29,36.585,36.72,36.585,15586500,36.72,36.72,36.585,572352127.5,572352127.5,572352127.5,,3
TQBR,2016-02-10,Сургнфгз,SNGS,10679,612516336.0,36.325,36.0,37.145,36.76,36.37,36.76,16841400,36.37,36.37,36.76,612516336.0,612516336.0,612516336.0,,3
TQBR,2016-02-11,Сургнфгз,SNGS,15355,1000625606.5,36.605,35.5,36.7,36.595,35.94,36.595,27846600,35.935,35.935,36.595,1000625606.5,1000625606.5,1000625606.5,,3
TQBR,2016-02-12,Сургнфгз,SNGS,15422,1260325790.0,36.635,36.555,37.9,37.19,37.25,37.19,33766200,37.325,37.325,37.19,1260325790.0,1260325790.0,1260325790.0,,3
TQBR,2016-02-15,Сургнфгз,SNGS,6499,422493751.5,37.72,36.97,37.975,37.975,37.565,37.975,11247100,37.565,37.565,37.975,422493751.5,422493751.5,422493751.5,,3
TQBR,2016-02-16,Сургнфгз,SNGS,6967,518491815.5,38.0,37.55,38.195,37.63,37.88,37.63,13688300,37.88,37.88,37.63,518491815.5,518491815.5,518491815.5,,3
TQBR,2016-02-17,Сургнфгз,SNGS,7919,548290863.5,37.55,37.55,38.2,37.94,37.955,37.94,14443800,37.96,37.96,37.94,548290863.5,548290863.5,548290863.5,,3
TQBR,2016-02-18,Сургнфгз,SNGS,11304,782811459.5,38.15,37.805,38.65,38.65,38.16,38.65,20513100,38.16,38.16,38.65,782811459.5,782811459.5,782811459.5,,3
TQBR,2016-02-19,Сургнфгз,SNGS,10317,885020826.5,38.38,38.03,38.575,38.575,38.39,38.575,23052200,38.39,38.39,38.575,885020826.5,885020826.5,885020826.5,,3
TQBR,2016-02-20,Сургнфгз,SNGS,2288,82606213.0,38.545,38.2,38.545,38.23,38.35,38.23,2154900,38.335,38.335,38.23,82606213.0,82606213.0,82606213.0,,3
TQBR,2016-02-22,Сургнфгз,SNGS,7758,529602605.0,38.26,38.215,39.76,39.35,39.135,39.35,13525900,39.155,39.155,39.35,529602605.0,529602605.0,529602605.0,,3
TQBR,2016-02-24,Сургнфгз,SNGS,11565,756341844.0,39.035,38.27,39.285,38.9,38.76,38.9,19514200,38.76,38.76,38.9,756341844.0,756341844.0,756341844.0,,3
TQBR,2016-02-25,Сургнфгз,SNGS,13313,760836075.5,38.91,38.05,39.385,38.49,38.725,38.49,19647200,38.725,38.725,38.49,760836075.5,760836075.5,760836075.5,,3
